"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"|"V 8k"
pgc|l|b|sgL|sgB|absB|Diam|BAratio|PA|T|V_GSR|Dist|sgX|sgY|sgZ|objname|GrpID|Filament|al1950|de1950
%7s|%9.4f|%9.4f|%9.4f|%9.4f|%7.2f|%6.2f|%5.2f|%5d|%3d|%7d|%7d|%7d|%7d|%7d|%14s|%5d|%5s|%9.4f|%9.4f
---|deg|deg|deg|deg|mag|kpc||deg||km/s|km/s|km/s|km/s|km/s||||h|deg
"The Catalogue of Principal Galaxies (PGC) Number"|"Galactic longitude"|"Galactic latitude"|"Supergalactic longitude"|"Supergalactic latitude"|"Absolute magnitude at distance in km/s / 100"|"Intrinsic diameter in kpc at distance in km/s / 100"|"Ratio minor to major axis diameters"|"Position angle on sky N through E"|"Morphological type; see RC3"|"Velocity in Galactic standard of rest; see RC3"|"Distance in km/s; flow model within 3000 km/s"|"SGX component of distance"|"SGY component of distance"|"SGZ component of distance"|"Common name"|"Internal group identifier"|"Internal filament identifier"|"Right Ascension (B1950)"|"Declination (B1950)"
2|113.9537|-14.6989|341.6440|20.7404|-20.15|32.57|0.85|165|3|5217|5217|4631|-1537|1847|"UGC   12889"||860.0|23.9578|46.9961
12|90.1883|-65.9294|286.4242|11.3525|-19.50|28.00|0.19|168|2|6635|6635|1839|-6240|1306|"MCG -1- 1- 16"||711.0|23.9597|-6.6525
13|110.7364|-28.5216|326.5967|19.8112|-18.64|14.27|0.87|||5236|5236|4112|-2712|1775|"CGCG 499- 29"||825.0|23.9611|32.8558
16|91.6304|-64.8490|287.6330|11.7056|-18.28|14.52|0.52||3|5708|5708|1693|-5327|1158|"MCG -1- 1- 17"||711.0|23.9608|-5.4167
17|99.8856|-55.6150|297.5763|14.5214|-19.30|19.68||||9116|9116|4085|-7823|2286|"UM       15"||711.5|23.9600|4.6667
18|113.9198|-15.0081|341.3138|20.7037|-18.93|19.54|0.91|||5566|5566|4932|-1669|1968|"MCG  8- 1- 19"||860.0|23.9609|46.6867
20|97.2982|-59.1783|293.7790|13.4913|-19.43|18.22|0.71|125|9|7501|7501|2940|-6675|1750|"MCG  0- 1- 16"||711.5|23.9608|0.8411
30|305.4404|-36.0865|215.6465|-13.3484|-20.67|35.04|0.85||5|7747|7747|-6126|-4392|-1789|"ESO   12- 12"||768.0|23.9631|-81.0700
31|326.3424|-67.7179|247.9834|-2.4694|-19.06|18.37|0.63|64|0|6148|6148|-2303|-5694|-265|"FAIR   1061"||713.0|23.9636|-47.3000
36|110.7051|-28.8761|326.2314|19.7201|-19.78|21.62|0.98||3|9987|9987|7815|-5226|3370|"IC     5373"||845.0|23.9653|32.5042
43|337.9480|-72.9944|254.1091|-0.1774|-18.07|18.07|0.26|153|4|3101|3101|-849|-2982|-10|"ESO  293- 27"||717.0|23.9650|-40.7614
44|322.4580|-65.0023|245.0554|-3.5845|-19.96|8.07|0.45|36|-5|8537|8537|-3594|-7725|-534|"FAIR   1064"|||23.9658|-50.4292
47|108.9495|-35.1595|319.4500|18.8656|-19.99|18.16|0.95||6|7829|7829|5629|-4817|2531|"UGC   12896"||835.0|23.9661|26.0472
49|107.9044|-38.6071|315.7623|18.2623|-19.09|10.51|0.91|||8246|8246|5610|-5463|2584|"KUG 2357+225"||835.0|23.9683|22.5000
54|109.5723|-33.1656|321.6093|19.1345|-19.92|20.13|0.39|11|2|8882|8882|6577|-5212|2911|"UGC   12897"||845.0|23.9679|28.1064
63|109.6144|-33.1567|321.6318|19.1049|-20.14|13.51|0.93||-4|9023|9023|6684|-5293|2953|"UGC   12899"||845.0|23.9704|28.1233
65|325.7098|-67.4769|247.7026|-2.6631|-18.48|20.07|0.26|156|0|5849|5849|-2217|-5406|-272|"ESO  193-  9"||713.0|23.9717|-47.6306
68|65.4148|-75.8090|274.3897|7.1783|-19.14|17.35|0.58|10|5|7833|7833|594|-7749|979|"ESO  538- 17"||755.0|23.9726|-19.2375
73|359.0724|-77.3427|260.5776|2.1480|-19.24|19.67|0.85|120|4|6892|6892|-1128|-6794|258|"ESO  349- 17"||713.0|23.9733|-33.8897
76|109.8034|-32.6699|322.1728|19.1338|-19.62|31.27|0.38|48|3|7076|7076|5280|-4100|2319|"UGC   12901"||835.0|23.9736|28.6336
79|99.9882|-56.1104|297.1942|14.1873|-19.38|17.87|0.87|178|4|9053|9053|4010|-7807|2219|"IC     5374"||711.5|23.9751|4.2225
80|100.0163|-56.0729|297.2350|14.1962|-19.52|21.32|0.35||3|9194|9194|4078|-7925|2255|"IC     5375"||711.5|23.9753|4.2631
81|101.0042|-54.4672|298.9282|14.6504|-18.95|17.63|0.50|52|-2|5382|5382|2518|-4558|1361|"NGC    7802"||711.0|23.9740|5.9644
101|104.5393|-47.9631|305.8691|16.2047|-19.63|11.13|0.59|85|0|5510|5510|3100|-4288|1538|"NGC    7803"||711.0|23.9795|12.8325
102|111.3372|-27.2149|328.0930|19.7297|-18.90|30.40|0.17|4|2|5218|5218|4169|-2596|1761|"IC     5376"||825.0|23.9795|34.2475
108|104.5750|-47.9682|305.8767|16.1813|-18.38|6.13|0.85||6|5400|5400|3039|-4202|1505|"MCG  2- 1- 12"||711.0|23.9812|12.8344
109|110.5883|-30.2364|324.8355|19.3594|-19.37|18.01|0.83||-1|5129|5129|3956|-2787|1700|"NGC    7805"||825.0|23.9814|31.1556
112|110.6036|-30.2306|324.8460|19.3489|-19.17|16.98|0.78|20|3|4948|4948|3817|-2688|1639|"NGC    7806"||825.0|23.9823|31.1642
117|103.8204|-49.6640|304.0913|15.7615|-19.73|25.17|0.81||6|9238|9238|4983|-7363|2509|"IC     1526"|||23.9827|11.0675
120|108.4042|-37.9792|316.5341|18.1600|-18.68|28.33|0.56|160|6|4538|4538|3129|-2967|1414|"UGC   12914"||61.0|23.9846|23.2053
121|109.4220|-34.6392|320.1137|18.7043|-18.67|11.49|0.74|||7853|7853|5707|-4770|2518|"CGCG 477- 39"||835.0|23.9847|26.6444
129|108.4263|-37.9715|316.5489|18.1471|-19.39|18.57|0.33|137|6|4503|4503|3106|-2943|1402|"UGC   12915"||61.0|23.9857|23.2169
147|107.9076|-39.8029|314.6190|17.7643|-18.78|15.18||||6867|6867|4593|-4655|2095|"CGCG 456- 16"||711.7|23.9900|21.3425
155|104.5458|-48.5697|305.3227|15.9008|-19.02|14.78|0.38||6|8023|8023|4461|-6296|2198|"CGCG 433- 17"|||23.9917|12.2528
163|104.8249|-48.1650|305.7839|15.9392|-19.38|18.17|0.69|80|0|5675|5675|3190|-4427|1558|"NGC    7810"||711.0|23.9960|12.6936
164|100.2750|-56.6059|296.8726|13.7708|-19.30|16.83|0.52||1|8725|8725|3830|-7559|2077|"IC     1527"||711.5|23.9966|3.8125
165|109.7000|-34.4015|320.4366|18.5803|-18.95|28.57|0.16|47|5|7773|7773|5680|-4693|2477|"UGC   12920"||835.0|23.9974|26.9286
168|99.8406|-57.3058|296.1448|13.5565|-19.59|9.24|0.91|15|10|7767|7767|3327|-6778|1821|"NGC    7811"||711.5|23.9980|3.0739
171|120.1551|14.6506|13.3827|18.2061|-18.37|8.66|0.76|178|2|2640|2772|2562|610|866|UGC12921|-1|460.0|23.9963|76.9786
176|94.3250|-63.8354|289.2036|11.5575|-18.59|23.58|0.63|0|3|6563|6563|2114|-6072|1315|"MCG -1- 1- 24"||711.0|0.0003|-3.9894
177|106.3925|-44.6552|309.5374|16.6508|-19.67|10.49|1.00|||6539|6539|3988|-4832|1874|"MCG  3- 1- 15"||711.7|0.0011|16.3650
179|103.0074|-52.2379|301.5739|14.8597|-18.07|13.15|0.19|||5670|5670|2869|-4669|1454|"MCG  1- 1- 13"||711.0|0.0017|8.4589
181|305.4554|-36.5432|216.1151|-13.3208|-16.30|10.72|0.51|18|9|1801|1602|-1259|-919|-369|"ESO   12- 14"|1028|53.0|0.0036|-80.6236
186|107.2379|-42.4960|311.8416|17.0688|-19.73|38.07|0.56|90|2|8039|8039|5126|-5726|2360|"UGC       3"||835.0|0.0033|18.6092
192|94.5419|-63.7644|289.3228|11.5339|-18.50|20.16|0.27||5|6298|6298|2041|-5823|1259|"MCG -1- 1- 26"||711.0|0.0041|-3.8844
195|355.6832|-77.3900|260.1332|1.5527|-19.58|18.52|0.68|125|3|6797|6797|-1165|-6694|184|"NGC    7812"||713.0|0.0058|-34.5133
199|107.3199|-42.5274|311.8397|17.0007|-19.03|14.83|0.68||6|8051|8051|5135|-5736|2354|"CGCG 456- 22"||835.0|0.0081|18.5942
201|100.6018|-56.5463|297.0294|13.6579|-19.23|26.33|0.65|155|5|8812|8812|3891|-7628|2081|"UGC       4"||711.5|0.0065|3.9300
205|96.2200|-62.2505|290.9999|11.9525|-20.04|38.28|0.50|45|5|7372|7372|2584|-6733|1527|"UGC       5"||711.5|0.0089|-2.1914
206|110.8970|-30.7007|324.4688|18.9514|-18.48|13.07||||4977|4977|3830|-2736|1616|"CGCG 498- 68"||825.0|0.0094|30.7611
207|108.3641|-39.5418|315.0212|17.5525|-19.80|19.30|0.72|105|6|6763|6763|4561|-4558|2040|"UGC       6"||711.7|0.0099|21.6817
208|109.3428|-36.4198|318.3521|18.0872|-18.99|16.86||||7923|7923|5627|-5006|2460|"CGCG 477- 44"||835.0|0.0108|24.8975
216|100.3726|-57.1255|296.4680|13.4271|-19.25|18.42|0.51||2|8126|8126|3522|-7076|1887|"MCG  0- 1- 22"||711.5|0.0119|3.3428
218|106.4060|-45.1736|309.0612|16.4049|-18.28|15.43|0.49|135|2|1200|918|555|-684|259|"NGC    7814"|1211|65.0|0.0114|15.8675
229|101.6640|-55.1703|298.5455|13.9424|-18.80|12.18|1.00||6|6311|6311|2926|-5381|1521|"MCG  1- 1- 16"||711.0|0.0137|5.4258
240|110.0218|-34.3153|320.6245|18.3653|-19.48|25.18|0.91||0|7864|7864|5769|-4735|2478|"UGC      13"||835.0|0.0153|27.0728
245|90.4633|-67.4904|285.4089|10.1468|-19.39|10.56|0.83||9|5476|5476|1432|-5197|965|"MCG -1- 1- 27"||711.0|0.0167|-7.9667
250|108.8702|-38.3613|316.3208|17.6710|-19.76|43.13|0.56|32|5|7403|7403|5101|-4872|2247|"UGC      14"||835.0|0.0170|22.9219
255|106.1987|-46.0991|308.1366|16.1057|-15.21|7.48|0.71||9|1026|1044|619|-789|290|"UGC      17"|1211|65.0|0.0185|14.9367
259|106.5862|-45.1601|309.1344|16.2981|-18.69|10.53|0.63|||6562|6562|3975|-4886|1842|"CGCG 456- 27"||711.7|0.0195|15.9139
263|102.8073|-53.5214|300.3453|14.2831|-19.65|26.62|0.87||4|5369|5369|2628|-4490|1325|"NGC    7816"||711.0|0.0209|7.2008
